Name,X-Coordinate,Y-Coordinate,Tag,공원녹지OX,Rain Gage,Outlet,Area (ha),Area(m^2),Total Area,Width (m),Flow Length (m),Slope (%),평균 Slope,Imperv. (%)
S00137TTTT,178474.063,552296.2,공원,TRUE,huff_2yr,S00238TTTT,0.006319,63.19,325.003329,7.949,7.949,0.803,0.598,15
S00138TTTT,178491.7,552300.6,공원,TRUE,huff_2yr,S00239TTTT,0.053188,531.88,m^2,23.063,23.062,3.338,,15
S00139TTTT,178520.641,552297.563,공원,TRUE,huff_2yr,S00140TTTT,0.034273,342.73,"3,250,033 ",18.513,18.513,3.482,,15
S00140TTTT,178548.234,552294.4,공원,TRUE,huff_2yr,S00141TTTT,0.013288,132.88,,11.527,11.528,3.482,,15
S00141TTTT,178568.516,552292,공원,TRUE,huff_2yr,S00241TTTT,0.000186,1.86,,1.364,1.364,3.358,,15
S00237TTTT,178470.328,552276.4,공원,TRUE,huff_2yr,S00338TTTT,0.040643,406.43,,20.16,20.16,1.707,,15
S00238TTTT,178492.172,552276.7,공원,TRUE,huff_2yr,S00339TTTT,0.09,900,,30,30,3.482,,15
S00239TTTT,178522.172,552276.7,공원,TRUE,huff_2yr,S00240TTTT,0.09,900,,30,30,3.482,,15
S00240TTTT,178552.172,552276.7,공원,TRUE,huff_2yr,S00241TTTT,0.09,900,,30,30,2.242,,15
S00241TTTT,178581.563,552275.438,공원,TRUE,huff_2yr,S00242TTTT,0.082116,821.16,,28.656,28.656,2.347,,15
S00242TTTT,178611.328,552272,공원,TRUE,huff_2yr,S00243TTTT,0.061317,613.17,,24.762,24.763,2.236,,15
S00243TTTT,178640.875,552268.563,공원,TRUE,huff_2yr,S00244TTTT,0.040331,403.31,,20.083,20.082,2.314,,15
S00244TTTT,178669.469,552265.25,공원,TRUE,huff_2yr,OF1,0.019346,193.46,,13.909,13.909,2.039,,15
S00245TTTT,178691.391,552262.7,공원,TRUE,huff_2yr,OF1,0.001867,18.67,,4.321,4.321,1.002,,15
S00337TTTT,178472.844,552248.5,공원,TRUE,huff_2yr,S00438TTTT,0.024746,247.46,,15.731,15.731,2.414,,15
S00338TTTT,178492.172,552246.7,공원,TRUE,huff_2yr,S00439TTTT,0.09,900,,30,30,2.779,,15
S00339TTTT,178522.172,552246.7,공원,TRUE,huff_2yr,S00340TTTT,0.09,900,,30,30,2.098,,15
S00340TTTT,178552.172,552246.7,공원,TRUE,huff_2yr,SD00341,0.09,900,,30,30,2.156,,15
S00341TTTT,178579.656,552248.063,공원,TRUE,huff_2yr,SD00342,0.072676,726.76,,26.958,26.959,2.301,,15
S00342TTFT,178613.344,552254.8,공원,TRUE,huff_2yr,S00243TTTT,0.040614,406.14,,20.153,20.153,2.056,,15
S00343TTFT,178642.969,552251.7,공원,TRUE,huff_2yr,S00244TTTT,0.059455,594.55,,24.383,24.384,2.047,,15
S00344TTFT,178672.781,552248.563,공원,TRUE,huff_2yr,S00245TTTT,0.078297,782.97,,27.982,27.981,1.947,,15
S00345TTFT,178701.828,552246.2,공원,TRUE,huff_2yr,S00245TTTT,0.086355,863.55,,29.386,29.386,1.779,,15
S00346TTTT,178731.391,552243,공원,TRUE,huff_2yr,S00347TTTT,0.067375,673.75,,25.957,25.956,1.555,,15
S00347TTTT,178761.047,552239.563,공원,TRUE,huff_2yr,S00348TTTT,0.046389,463.89,,21.538,21.538,0.428,,15
