generation,ranking,house_area,area_change_rate
1,0,31.40080099999997,-0.5374393315232038
1,1,43.14130500000025,-0.3644916612234992
1,2,33.722642999999984,-0.5032366120569867
1,3,31.745174999999954,-0.5323664078214797
1,4,34.382335,-0.4935187843968324
1,5,32.786232999999996,-0.5170307326454504
1,6,37.09914900000001,-0.45349778939205126
1,7,39.69955600000014,-0.41519156910703997
1,8,35.86021400000002,-0.47174836210194154
1,9,38.19017000000003,-0.4374261164725537
1,10,35.011057999999956,-0.48425715660693247
1,11,33.776808000000045,-0.5024387152578549
1,12,27.36044999999998,-0.5969571590920256
1,13,26.691303999999977,-0.6068142522619921
1,14,29.90768699999997,-0.5594341784047233
1,15,28.05589099999997,-0.5867127180713597
1,16,27.486012999999964,-0.5951075086574413
1,17,27.99338699999997,-0.5876334554761945
1,18,35.78695100000006,-0.47282758878327996
1,19,26.625764999999973,-0.6077796978138843
1,20,40.64936000000017,-0.40120014343729515
1,21,40.82645200000023,-0.39859142673921094
1,22,21.792018999999993,-0.6789849126428638
1,23,24.26886099999999,-0.6424989105427453
1,24,25.626770999999955,-0.6224957342756394
1,25,34.824943000000026,-0.4869987898160193
1,26,42.52553400000019,-0.3735624949703406
1,27,23.16620199999998,-0.6587420211609094
1,28,26.059901999999987,-0.6161153440143198
1,29,29.560728999999967,-0.5645451666375831
1,30,33.46961499999997,-0.5069639310137023
1,31,22.33461299999998,-0.670992038723772
1,32,40.998176000000214,-0.39606178527453934
1,33,21.639672999999966,-0.6812290995857312
1,34,16.965782999999973,-0.7500794987455174
1,35,30.814407999999965,-0.5460774021912137
1,36,20.884603999999978,-0.6923519120702312
1,37,29.52761099999997,-0.5650330231167416
1,38,16.168401999999993,-0.7618256031965053
1,39,12.236471999999983,-0.8197462966591967
2,0,31.40080099999997,-0.5374393315232038
2,1,43.14130500000025,-0.3644916612234992
2,2,25.451094999999974,-0.6250835920820477
2,3,35.59343000000006,-0.4756783187097012
2,4,35.64669400000009,-0.47489369441155793
2,5,38.51391300000016,-0.4326571050548277
